author,title,year,conference
Scott Niekum,Evolved Intrinsic Reward Functions for Reinforcement Learning.,2010,AAAI
William Austin Webb_Pedro M. Domingos,Tractable Probabilistic Knowledge Bases with Existence Uncertainty.,2013,AAAI
Anup K. Kalia,The Semantic Interpretation of Trust in Multiagent Interactions.,2014,AAAI
Li Chou_Somdeb Sarkhel_Nicholas Ruozzi_Vibhav Gogate,On Parameter Tying by Quantization.,2016,AAAI
Sameena Shah_Ravi Kothari_Jayadeva_Suresh Chandra 0001,Mathematical Modeling and Convergence Analysis of Trail Formation.,2008,AAAI
Kun Zhang_Enhong Chen_Qi Liu_Chuanren Liu_Guangyi Lv,A Context-Enriched Neural Network Method for Recognizing Lexical Entailment.,2017,AAAI
Richard Hoshino_Ken-ichi Kawarabayashi,The Linear Distance Traveling Tournament Problem.,2012,AAAI
Ruben Glatt_Anna Helena Reali Costa,Improving Deep Reinforcement Learning with Knowledge Transfer.,2017,AAAI
Martin Mladenov_Vaishak Belle_Kristian Kersting,The Symbolic Interior Point Method.,2017,AAAI
Ronghua Liang_Xiaorui Jiang,Scientific Ranking over Heterogeneous Academic Hypernetwork.,2016,AAAI
CJ Carey_Sridhar Mahadevan,Manifold Spanning Graphs.,2014,AAAI
Craig Boutilier_Jérôme Lang_Joel Oren_Héctor Palacios,Robust Winners and Winner Determination Policies under Candidate Uncertainty.,2014,AAAI
Ian Porteous_Arthur U. Asuncion_Max Welling,Bayesian Matrix Factorization with Side Information and Dirichlet Process Mixtures.,2010,AAAI
Fabian Hadiji_Kristian Kersting,Reduce and Re-Lift: Bootstrapped Lifted Likelihood Maximization for MAP.,2013,AAAI
Bill Hibbard,Self-Modeling Agents and Reward Generator Corruption.,2015,AAAI
Lei Zhang_Chong-Jun Wang_Jun Wu_Meilin Liu_Jun-Yuan Xie,Planning with Multi-Valued Landmarks.,2013,AAAI
Marcus Paul Gutierrez_Christopher Kiekintveld,Bandits for Cybersecurity: Adaptive Intrusion Detection Using Honeypots.,2016,AAAI
Yingzhen Yang_Xinqi Chu_Feng Liang_Thomas S. Huang,Pairwise Exemplar Clustering.,2012,AAAI
Donghui Wang_Yanan Li_Yuetan Lin_Yueting Zhuang,Relational Knowledge Transfer for Zero-Shot Learning.,2016,AAAI
Lizi Liao_Jing Jiang_Ying Ding_Heyan Huang_Ee-Peng Lim,Lifetime Lexical Variation in Social Media.,2014,AAAI
Seung-Joon Yi_Byoung-Tak Zhang_Daniel D. Lee,Online Learning of Uneven Terrain for Humanoid Bipedal Walking.,2010,AAAI
Haris Aziz 0001_Bart de Keijzer,Housing Markets with Indifferences: A Tale of Two Mechanisms.,2012,AAAI
Lenhart K. Schubert,Semantic Representation.,2015,AAAI
Teresa Maria Breyer_Richard E. Korf,1.6-Bit Pattern Databases.,2010,AAAI
Yong Cheng_Yang Liu_Wei Xu 0005,Maximum Reconstruction Estimation for Generative Latent-Variable Models.,2017,AAAI
Abdullah Aref_Thomas Tran,A Trust Establishment Model in Multi-Agent Systems.,2015,AAAI
Stellan Ohlsson_Robert H. Sloan_György Turán_Aaron Urasky,Verbal IQ of a Four-Year Old Achieved by an AI System.,2013,AAAI
Ian E. Perera_James F. Allen_Lucian Galescu_Choh Man Teng_Mark H. Burstein_Scott E. Friedman_David D. McDonald_Jeffrey M. Rye,Natural Language Dialogue for Building and Learning Models and Structures.,2017,AAAI
Han Xiao 0002_Claudia Eckert,Lazy Gaussian Process Committee for Real-Time Online Regression.,2013,AAAI
