author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
Song Cao,0,0,0,0,0,0,1,1,0,0,0,2
Puzhao Zhang,0,0,0,0,0,0,0,0,0,0,1,1
Zhiwei Liu,0,0,0,0,0,0,0,0,0,0,1,1
Alexandre Karpenko,0,0,0,0,1,0,0,0,0,0,0,1
Jayakorn Vongkulbhisal,0,0,0,0,0,0,0,0,0,1,1,2
Oswald Barral,0,0,0,0,0,0,0,1,0,0,0,1
Hanne Vlaeminck,0,0,0,0,0,1,0,0,0,0,0,1
Hadi Mohasel Afshar,0,0,0,0,0,0,0,0,2,1,0,3
Andreas Spitz,0,0,0,0,0,0,0,0,0,1,0,1
Qin Wang,0,0,0,0,0,0,0,1,0,0,0,1
Dmitry Pidan,0,0,0,0,1,0,0,0,0,0,0,1
Yannick Schwartz,0,0,0,0,0,0,1,0,0,0,0,1
Rohit Girdhar,0,0,0,0,0,0,0,0,0,0,3,3
Kisuh Ahn,1,0,0,0,0,0,0,0,0,0,0,1
Ed P. Sparks,0,0,0,0,0,0,0,1,0,0,0,1
Shantanu Jain,0,0,0,0,0,0,0,0,0,1,1,2
Liangda Fang,0,0,0,0,0,0,2,0,2,1,0,5
Jianfei Yu,0,0,0,0,0,0,0,1,0,0,1,2
Varun R. Embar,0,0,0,0,0,0,0,1,1,0,0,2
Nicholas Fisher,0,0,0,1,0,0,0,0,0,0,0,1
Thomas Nowotny,0,1,0,0,0,0,0,0,0,0,0,1
Jianping Zhang,0,1,0,0,1,0,0,0,0,0,0,2
Roman Dirnberger,0,0,0,0,0,0,0,0,0,0,1,1
Lingjia Deng,0,0,0,0,0,0,0,0,0,1,0,1
Jonathan Dinerstein,1,1,0,0,0,0,0,0,0,0,0,2
Zhe Zhang,0,0,0,0,0,0,0,1,0,0,1,2
Yannig Goude,0,0,0,0,0,1,0,0,0,0,0,1
Delu Zeng,0,0,0,0,0,0,0,0,0,1,1,2
Joachim M. Buhmann,1,1,0,2,0,2,1,1,2,2,3,15
Ingmar Kanitscheider,0,0,0,0,0,0,0,0,0,0,1,1
Boyang Li,0,0,0,0,0,0,1,0,1,0,2,4
Kai Cordes,0,0,1,0,0,0,0,0,0,0,0,1
Rodney McDougall,0,0,0,0,0,0,0,0,0,0,1,1
Kenneth D. Forbus,5,2,0,1,2,2,2,1,3,1,1,20
Ying Wei,0,0,0,0,0,0,0,1,0,2,2,5
Aman Raj,0,0,0,0,0,0,0,0,0,0,1,1
Omer Tsimhoni,0,0,0,0,0,0,0,1,1,1,0,3
Yanchao Yang,0,0,0,0,0,0,0,0,1,0,1,2
Alex Pentland,0,0,0,0,1,0,0,0,0,1,0,2
Shihai Wang,1,0,0,0,0,0,0,0,0,0,0,1
Yuanhao Chen,1,4,1,2,0,0,0,0,0,0,0,8
